,0,1,sum
v204,11.0,3.0,14.0
v163,10.0,0.0,10.0
v164,10.0,2.0,12.0
v333,9.0,6.0,15.0
v165,9.0,2.0,11.0
v335,8.0,7.0,15.0
v298,7.0,4.0,11.0
v340,6.0,9.0,15.0
v203,6.0,3.0,9.0
v299,6.0,5.0,11.0
v172,5.0,0.0,5.0
v202,5.0,1.0,6.0
v300,5.0,6.0,11.0
v152,4.0,0.0,4.0
v148,4.0,0.0,4.0
v430,4.0,8.0,12.0
v174,4.0,1.0,5.0
v294,4.0,3.0,7.0
v158,4.0,0.0,4.0
v140,3.0,0.0,3.0
v159,3.0,0.0,3.0
v307,3.0,2.0,5.0
v201,3.0,0.0,3.0
v154,3.0,1.0,4.0
v225,3.0,1.0,4.0
v431,3.0,9.0,12.0
v572,3.0,0.0,3.0
v46,3.0,0.0,3.0
v16,3.0,1.0,4.0
v224,2.0,0.0,2.0
v269,2.0,0.0,2.0
v564,2.0,0.0,2.0
v339,2.0,4.0,6.0
v309,2.0,3.0,5.0
v155,2.0,0.0,2.0
v247,2.0,0.0,2.0
v434,2.0,8.0,10.0
v254,2.0,0.0,2.0
v267,2.0,0.0,2.0
v251,2.0,0.0,2.0
v185,2.0,0.0,2.0
v550,2.0,0.0,2.0
v195,2.0,0.0,2.0
v551,2.0,0.0,2.0
v114,2.0,0.0,2.0
v293,2.0,2.0,4.0
v137,2.0,0.0,2.0
v250,2.0,0.0,2.0
v187,2.0,0.0,2.0
v176,2.0,0.0,2.0
v268,2.0,0.0,2.0
v559,2.0,0.0,2.0
v147,2.0,0.0,2.0
v143,2.0,0.0,2.0
v289,2.0,2.0,4.0
v184,2.0,0.0,2.0
v319,2.0,1.0,3.0
v153,2.0,0.0,2.0
v138,2.0,0.0,2.0
v25,2.0,0.0,2.0
v173,2.0,0.0,2.0
v208,2.0,0.0,2.0
v180,2.0,0.0,2.0
v283,2.0,2.0,4.0
v169,2.0,0.0,2.0
v156,2.0,0.0,2.0
v166,2.0,0.0,2.0
v121,2.0,0.0,2.0
v253,2.0,0.0,2.0
v565,2.0,0.0,2.0
v252,2.0,0.0,2.0
v574,2.0,1.0,3.0
v218,2.0,0.0,2.0
v219,2.0,0.0,2.0
v222,2.0,0.0,2.0
v221,2.0,0.0,2.0
v136,2.0,0.0,2.0
v170,2.0,0.0,2.0
v183,2.0,0.0,2.0
v171,2.0,0.0,2.0
v139,2.0,0.0,2.0
v338,2.0,2.0,4.0
v255,2.0,0.0,2.0
v135,2.0,0.0,2.0
v583,2.0,0.0,2.0
v275,2.0,1.0,3.0
v549,2.0,0.0,2.0
v248,2.0,0.0,2.0
v175,2.0,0.0,2.0
v177,2.0,0.0,2.0
v573,2.0,0.0,2.0
v198,2.0,0.0,2.0
